Epoch: [7][0/329], lr: 0.00010	Time 19.853 (19.853)	Data 19.630 (19.630)	Loss 1.9206 (1.9206)	Prec@1 20.000 (20.000)	Prec@5 100.000 (100.000)
Epoch: [7][20/329], lr: 0.00010	Time 0.184 (1.120)	Data 0.000 (0.935)	Loss 2.6466 (1.3687)	Prec@1 20.000 (45.714)	Prec@5 60.000 (90.476)
Epoch: [7][40/329], lr: 0.00010	Time 0.173 (0.663)	Data 0.000 (0.479)	Loss 0.9270 (1.3882)	Prec@1 60.000 (44.878)	Prec@5 100.000 (89.756)
Epoch: [7][60/329], lr: 0.00010	Time 0.176 (0.504)	Data 0.000 (0.322)	Loss 1.2419 (1.3885)	Prec@1 60.000 (45.246)	Prec@5 100.000 (90.820)
Epoch: [7][80/329], lr: 0.00010	Time 0.184 (0.424)	Data 0.000 (0.242)	Loss 0.7217 (1.3560)	Prec@1 60.000 (45.926)	Prec@5 100.000 (92.099)
Epoch: [7][100/329], lr: 0.00010	Time 0.192 (0.376)	Data 0.000 (0.194)	Loss 1.4535 (1.3317)	Prec@1 40.000 (46.535)	Prec@5 80.000 (92.277)
Epoch: [7][120/329], lr: 0.00010	Time 0.184 (0.344)	Data 0.000 (0.162)	Loss 1.1485 (1.3167)	Prec@1 40.000 (47.107)	Prec@5 100.000 (93.058)
Epoch: [7][140/329], lr: 0.00010	Time 0.181 (0.321)	Data 0.000 (0.139)	Loss 1.5934 (1.3135)	Prec@1 60.000 (47.660)	Prec@5 100.000 (93.475)
Epoch: [7][160/329], lr: 0.00010	Time 0.189 (0.304)	Data 0.000 (0.122)	Loss 1.3958 (1.3240)	Prec@1 20.000 (47.702)	Prec@5 80.000 (93.292)
Epoch: [7][180/329], lr: 0.00010	Time 0.172 (0.291)	Data 0.000 (0.109)	Loss 1.3933 (1.3186)	Prec@1 40.000 (48.177)	Prec@5 100.000 (93.702)
Epoch: [7][200/329], lr: 0.00010	Time 0.176 (0.279)	Data 0.000 (0.098)	Loss 1.1409 (1.3106)	Prec@1 20.000 (48.060)	Prec@5 100.000 (93.831)
Epoch: [7][220/329], lr: 0.00010	Time 0.184 (0.270)	Data 0.000 (0.089)	Loss 0.8870 (1.3242)	Prec@1 80.000 (47.873)	Prec@5 100.000 (93.303)
Epoch: [7][240/329], lr: 0.00010	Time 0.174 (0.263)	Data 0.000 (0.082)	Loss 1.4791 (1.3302)	Prec@1 20.000 (47.220)	Prec@5 100.000 (93.361)
