Epoch: [2][480/770], lr: 0.00010	Time 0.223 (0.262)	Data 0.000 (0.040)	Loss 0.5832 (1.4983)	Prec@1 100.000 (39.813)	Prec@5 100.000 (91.996)
Epoch: [2][500/770], lr: 0.00010	Time 0.224 (0.260)	Data 0.000 (0.039)	Loss 0.8473 (1.5055)	Prec@1 50.000 (39.621)	Prec@5 100.000 (92.116)
Epoch: [2][520/770], lr: 0.00010	Time 0.220 (0.258)	Data 0.000 (0.037)	Loss 2.0970 (1.5120)	Prec@1 50.000 (39.731)	Prec@5 100.000 (91.843)
Epoch: [2][540/770], lr: 0.00010	Time 0.222 (0.257)	Data 0.000 (0.036)	Loss 0.7700 (1.5057)	Prec@1 50.000 (39.649)	Prec@5 100.000 (91.959)
Epoch: [2][560/770], lr: 0.00010	Time 0.222 (0.256)	Data 0.000 (0.034)	Loss 2.2019 (1.5060)	Prec@1 50.000 (39.394)	Prec@5 50.000 (91.979)
Epoch: [2][580/770], lr: 0.00010	Time 0.222 (0.255)	Data 0.000 (0.033)	Loss 0.9848 (1.5056)	Prec@1 50.000 (39.243)	Prec@5 100.000 (91.997)
Epoch: [2][600/770], lr: 0.00010	Time 0.220 (0.253)	Data 0.000 (0.032)	Loss 0.9343 (1.5037)	Prec@1 50.000 (39.434)	Prec@5 100.000 (92.097)
Epoch: [2][620/770], lr: 0.00010	Time 0.222 (0.252)	Data 0.000 (0.031)	Loss 1.5083 (1.5092)	Prec@1 100.000 (39.614)	Prec@5 100.000 (91.707)
Epoch: [2][640/770], lr: 0.00010	Time 0.222 (0.251)	Data 0.000 (0.030)	Loss 1.5378 (1.5109)	Prec@1 0.000 (39.392)	Prec@5 100.000 (91.420)
Epoch: [2][660/770], lr: 0.00010	Time 0.221 (0.250)	Data 0.000 (0.029)	Loss 0.7291 (1.5129)	Prec@1 50.000 (39.486)	Prec@5 100.000 (91.377)
Epoch: [2][680/770], lr: 0.00010	Time 0.212 (0.250)	Data 0.000 (0.028)	Loss 1.9647 (1.5114)	Prec@1 0.000 (39.427)	Prec@5 100.000 (91.483)
Epoch: [2][700/770], lr: 0.00010	Time 0.220 (0.249)	Data 0.000 (0.028)	Loss 2.0358 (1.5173)	Prec@1 0.000 (39.301)	Prec@5 100.000 (91.369)
Epoch: [2][720/770], lr: 0.00010	Time 0.224 (0.248)	Data 0.000 (0.027)	Loss 0.6403 (1.5117)	Prec@1 50.000 (39.320)	Prec@5 100.000 (91.470)
Epoch: [2][740/770], lr: 0.00010	Time 0.222 (0.247)	Data 0.000 (0.026)	Loss 0.8801 (1.5009)	Prec@1 50.000 (39.879)	Prec@5 100.000 (91.633)
Epoch: [2][760/770], lr: 0.00010	Time 0.222 (0.247)	Data 0.000 (0.025)	Loss 1.6761 (1.4954)	Prec@1 0.000 (40.013)	Prec@5 100.000 (91.721)
Epoch: [3][0/770], lr: 0.00010	Time 19.505 (19.505)	Data 19.210 (19.210)	Loss 0.9057 (0.9057)	Prec@1 50.000 (50.000)	Prec@5 100.000 (100.000)
Epoch: [3][20/770], lr: 0.00010	Time 0.221 (1.141)	Data 0.000 (0.915)	Loss 0.5523 (1.4145)	Prec@1 100.000 (40.476)	Prec@5 100.000 (95.238)
Epoch: [3][40/770], lr: 0.00010	Time 0.222 (0.693)	Data 0.000 (0.469)	Loss 1.1200 (1.5318)	Prec@1 50.000 (36.585)	Prec@5 100.000 (92.683)
