Epoch: [5][140/308], lr: 0.00010	Time 0.438 (0.577)	Data 0.000 (0.136)	Loss 1.6362 (1.3923)	Prec@1 20.000 (42.837)	Prec@5 80.000 (92.908)
Epoch: [5][160/308], lr: 0.00010	Time 0.437 (0.560)	Data 0.000 (0.119)	Loss 1.0591 (1.3745)	Prec@1 60.000 (43.478)	Prec@5 100.000 (93.043)
Epoch: [5][180/308], lr: 0.00010	Time 0.438 (0.547)	Data 0.000 (0.106)	Loss 2.1800 (1.3709)	Prec@1 0.000 (43.204)	Prec@5 80.000 (92.928)
Epoch: [5][200/308], lr: 0.00010	Time 0.437 (0.537)	Data 0.000 (0.095)	Loss 1.2404 (1.3760)	Prec@1 60.000 (43.085)	Prec@5 100.000 (93.433)
Epoch: [5][220/308], lr: 0.00010	Time 0.437 (0.528)	Data 0.000 (0.087)	Loss 1.4935 (1.3709)	Prec@1 40.000 (43.258)	Prec@5 80.000 (93.665)
Epoch: [5][240/308], lr: 0.00010	Time 0.437 (0.521)	Data 0.000 (0.080)	Loss 1.1515 (1.3740)	Prec@1 60.000 (42.988)	Prec@5 100.000 (93.610)
Epoch: [5][260/308], lr: 0.00010	Time 0.438 (0.515)	Data 0.000 (0.073)	Loss 0.9366 (1.3719)	Prec@1 60.000 (42.452)	Prec@5 100.000 (93.793)
Epoch: [5][280/308], lr: 0.00010	Time 0.438 (0.510)	Data 0.000 (0.068)	Loss 0.9915 (1.3683)	Prec@1 0.000 (42.847)	Prec@5 100.000 (93.737)
Epoch: [5][300/308], lr: 0.00010	Time 0.438 (0.505)	Data 0.000 (0.064)	Loss 1.6738 (1.3851)	Prec@1 40.000 (42.791)	Prec@5 100.000 (93.488)
Epoch: [6][0/308], lr: 0.00010	Time 19.344 (19.344)	Data 19.063 (19.063)	Loss 0.6990 (0.6990)	Prec@1 60.000 (60.000)	Prec@5 100.000 (100.000)
Epoch: [6][20/308], lr: 0.00010	Time 0.438 (1.343)	Data 0.000 (0.908)	Loss 1.1774 (1.3720)	Prec@1 60.000 (46.667)	Prec@5 100.000 (90.476)
Epoch: [6][40/308], lr: 0.00010	Time 0.422 (0.903)	Data 0.000 (0.465)	Loss 0.9665 (1.3343)	Prec@1 40.000 (50.244)	Prec@5 100.000 (92.195)
Epoch: [6][60/308], lr: 0.00010	Time 0.453 (0.753)	Data 0.000 (0.313)	Loss 1.0962 (1.3989)	Prec@1 60.000 (47.541)	Prec@5 80.000 (91.475)
Epoch: [6][80/308], lr: 0.00010	Time 0.437 (0.676)	Data 0.000 (0.236)	Loss 0.8080 (1.3818)	Prec@1 40.000 (48.395)	Prec@5 100.000 (92.099)
Epoch: [6][100/308], lr: 0.00010	Time 0.438 (0.630)	Data 0.000 (0.189)	Loss 2.5720 (1.3699)	Prec@1 0.000 (46.139)	Prec@5 100.000 (93.267)
Epoch: [6][120/308], lr: 0.00010	Time 0.438 (0.599)	Data 0.000 (0.158)	Loss 1.4407 (1.3558)	Prec@1 40.000 (45.950)	Prec@5 80.000 (93.058)
